职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
研究所-商品研究部-黑色建材研究岗G01239,2-4万,北京,3-5年,硕士,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;绩效奖金;通讯补贴;带薪年假;补充医疗保险;节日福利,餐补;定期体检,
研究所金融工程行业分析师/研究员/研究助理(000590),1.5-2.5万,深圳·福田区,2年及以上,硕士,国盛证券有限责任公司,金融/投资/证券,国企,1000-5000人,,证券从业资格;matlab;路演;资格证书;量化研究;基金研究;行业轮动;电话会议;分析师;研究员;上市公司;佣金,
宏观策略研究员,1.2-2万,上海·静安区,2年及以上,硕士,上海和御信息科技有限公司,金融/投资/证券,民营,少于50人,五险一金;绩效奖金,数据库;excel;数学;资产配置;建模;金融工程;计算机科学;量化策略;行业轮动;风险偏好,
投资策略分析师（股票 / 基金 / 大类资产配置方向）,1-2万,上海·徐汇区,5年及以上,本科,上海正善合文化传播发展有限公司,教育/培训/院校,民营,少于50人,,授课;金融;基金;股票;投资;课程研发;课程授课;大类资产配置,
研究所-商品研究部-黑色建材研究岗G01239,2-4万,上海·浦东新区,3年及以上,硕士,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;绩效奖金;通讯补贴;带薪年假;补充医疗保险;节日福利,餐补;定期体检,
低空经济项目合伙人,2.5-3.5万,广州,3年及以上,大专,广州市南沙区壹飞科技服务中心（个体工商户）,生活服务,民营,少于50人,,,
中哲物产-宏观研究员,1.5-3万·15薪,宁波·鄞州区,2年及以上,硕士,中哲控股集团有限公司,多元化业务集团公司,民营,1000-5000人,五险一金;绩效奖金;通讯补贴;带薪年假,专业培训;年终奖金;员工旅游;饭补;定期体检,
研究院金融工程研究岗,13.2-22.8万/年,上海,1年及以上,硕士,西南证券股份有限公司,金融/投资/证券,国企,1000-5000人,,计算机;编程;数学;调研;研究报告;深度报告;数理统计;数据处理分析;量化建模;金融产品研究,
研究所-金融与量化研究部-权益及期权策略研究岗G01306,1.5-3万,深圳·福田区,2年及以上,硕士,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;补充医疗保险;补充公积金,新能源;补充企业年金;专业培训,
北京 - 转让定价团队组长，MJ007013,7-9千·13薪,北京·东城区,1年及以上,本科,毕马威全球商务服务（广东）有限公司,会计/审计,外资（非欧美）,1000-5000人,五险一金;补充医疗保险,可比性分析;转让定价;免费班车;年终奖金;定期体检,
双语经济教师-澄峰高级中学,1.2-2万,昆山,2年及以上,本科,昆山加拿大外籍人员子女学校,教育/培训/院校,外资（欧美）,150-500人,五险一金,教学;授课;批改作业;经济学;宏观经济学;写作;课堂管理;模拟考试;管理课堂纪律;教学策略;定期体检,
研究院金融工程研究岗,13.2-22.8万/年,深圳·福田区,1年及以上,硕士,西南证券股份有限公司,金融/投资/证券,国企,1000-5000人,,计算机;编程;数学;调研;研究报告;深度报告;数理统计;数据处理分析;量化建模;金融产品研究,
研究所-金融与量化研究部-权益及期权策略研究岗G01306,1.5-3万,上海,2年及以上,硕士,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;补充医疗保险;补充公积金,新能源;补充企业年金;专业培训,
业务合作伙伴,1-2万,上海·静安区,无需经验,本科,灼识投资咨询（上海）有限公司,金融/投资/证券,民营,50-150人,,,
研究员,1-1.5万,上海·闵行区,3-5年,本科,上海旭中市场信息咨询有限公司,专业服务(咨询、人力资源、财会),民营,50-150人,五险一金;绩效奖金;餐饮补贴;带薪年假;节日福利;交通补贴,咨询;年终奖金;员工旅游;周末双休,
前台行政文员,400元/天,北京·大兴区,2年及以上,本科,北京经济技术开发区耀华京港学校,教育/培训/院校,非营利组织,50-150人,,,
研究所-金融与量化研究部-权益及期权策略研究岗G01306,1.5-3万,北京,2年及以上,硕士,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;补充医疗保险;补充公积金,新能源;补充企业年金;专业培训,
研究员,15-25万/年,南京·鼓楼区,3年及以上,硕士,北京经世万方信息技术有限公司,计算机软件,民营,50-150人,五险一金;交通补贴;餐饮补贴;绩效奖金;通讯补贴,专业培训;年终奖金;定期体检;员工旅游;股票期权,
新消费研究员,6千-1.2万,成都·高新区,1年及以上,硕士,成都锦悦恒瑞私募基金有限公司,金融/投资/证券,民营,少于50人,五险一金;带薪年假;绩效奖金;交通补贴,上市公司;专业培训;员工旅游;年终奖金;出国机会;定期体检,
二级市场行业研究经理,18-35万/年,杭州,3-4年,硕士,浙江万安投资管理有限公司,金融/投资/证券,已上市,50-150人,五险一金;餐饮补贴;绩效奖金,二级市场;研究员;调研;投研;出国机会;定期体检;年终奖金,
